Package,Dataset,Topic,Rows,Cols
rgr,ms.data3,Measurement Variability Test Data,32,2
rgr,ms.data2,Measurement Variability Test Data,32,2
rgr,ms.data1,Measurement Variability Test Data,16,3
rgr,kola.o,Kola Project O-horizon Soil Data,617,44
rgr,kola.c,Kola Project C-horizon Soil Data,606,42
rgr,fix.test.asis,Test Data for Function ltdl.fix.df,15,5
rgr,fix.test,Test Data for Function ltdl.fix.df,15,4
rgr,crm.test,National Geochemical Reconnaissance survey QA/QC data,97,2
rgr,ad.test,National Geochemical Reconnaissance survey QA/QC data,160,2
riv,mortality,Mortality rate data,60,8
riv,earthquake,Alaskan earthquakes data,62,3
Rivivc,resp,PK profile after drug oral administration,19,2
Rivivc,input,In vivo absorption of the drug,19,2
Rivivc,impulse,PK profile after drug intravenous administration,19,2
rmeta,cochrane,Data for Cochrane Collaboration logo,7,5
rmeta,catheter,Meta-analysis of antibacterial catheter coating,15,7
rminer,sin1reg,sin1 regression dataset,1000,4
rminer,sa_tree,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_ssin_n2p,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_ssin,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_psin,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_int2_8p,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_int2_3c,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_int2,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,5
rminer,sa_fri1,Synthetic regression and classification datasets for measuring input importance of supervised learning models,1000,11
robustbase,Animals2,Brain and Body Weights for 65 Species of Land Animals,65,2
robustbase,CrohnD,Crohn's Disease Adverse Events Data,117,9
robustbase,NOxEmissions,NOx Air Pollution Data,8088,4
robustbase,SiegelsEx,Siegel's Exact Fit Example Data,9,2
robustbase,aircraft,Aircraft Data,23,5
robustbase,airmay,Air Quality Data,31,4
robustbase,alcohol,Alcohol Solubility in Water Data,44,7
robustbase,ambientNOxCH,Daily Means of NOx (mono-nitrogen oxides) in air,366,14
robustbase,biomassTill,Biomass Tillage Data,58,4
robustbase,bushfire,Campbell Bushfire Data,38,5
robustbase,carrots,Insect Damages on Carrots,24,4
robustbase,cloud,Cloud point of a Liquid,19,2
robustbase,coleman,Coleman Data Set,20,6
robustbase,condroz,Condroz Data,428,2
robustbase,cushny,Cushny and Peebles Prolongation of Sleep Data,10,7
robustbase,delivery,Delivery Time Data,25,3
robustbase,education,Education Expenditure Data,50,6
robustbase,epilepsy,Epilepsy Attacks Data Set,236,6
robustbase,exAM,Example Data of Antille and May - for Simple Regression,12,2
robustbase,foodstamp,Food Stamp Program Participation,150,4
robustbase,hbk,"Hawkins, Bradu, Kass's Artificial Data",75,4
robustbase,heart,Heart Catherization Data,172,8
robustbase,kootenay,Waterflow Measurements of Kootenay River in Libby and Newgate,13,2
robustbase,lactic,Lactic Acid Concentration Measurement Data,20,2
robustbase,milk,Daudin's Milk Composition Data,86,8
robustbase,pension,Pension Funds Data,18,2
robustbase,phosphor,Phosphorus Content Data,18,3
robustbase,pilot,Pilot-Plant Data,20,2
robustbase,possumDiv,Possum Diversity Data,151,9
robustbase,pulpfiber,Pulp Fiber and Paper Data,62,8
robustbase,radarImage,Satellite Radar Image Data from near Munich,1573,5
robustbase,salinity,Salinity Data,28,4
robustbase,starsCYG,Hertzsprung-Russell Diagram Data of Star Cluster CYG OB1,47,2
robustbase,telef,Number of International Calls from Belgium,24,2
robustbase,toxicity,Toxicity of Carboxylic Acids Data,38,10
robustbase,vaso,Vaso Constriction Skin Data Set,39,3
robustbase,wagnerGrowth,Wagner's Hannover Employment Growth Data,63,7
robustbase,wood,Modified Data on Wood Specific Gravity,20,6
ROCwoGS,score,score data,4214,3
rpart,stagec,Stage C Prostate Cancer,146,8
rpart,solder,Soldering of Components on Printed-Circuit Boards,720,6
rpart,kyphosis,Data on Children who have had Corrective Spinal Surgery,81,4
rpart,cu.summary,Automobile Data from 'Consumer Reports' 1990,117,5
rpart,car.test.frame,Automobile Data from 'Consumer Reports' 1990,60,8
rpart,car90,Automobile Data from 'Consumer Reports' 1990,111,34
rpart.plot,ptitanic,Titanic data with passenger names and other details removed.,1309,6
rugarch,sp500ret,data: Standard and Poors 500 Closing Value Log Return,5523,1
rugarch,dmbp,data: Deutschemark/British pound Exchange Rate,1974,2
rugarch,dji30ret,data: Dow Jones 30 Constituents Closing Value Log Return,5521,30
Rvelslant,tt.s,P- and S-Wave Travel Time Measurements,5364,5
Rvelslant,tt.p,P- and S-Wave Travel Time Measurements,5151,5
rworldmap,gridExData,Example half degree grid data : population estimates for 2000 from IIASA,259200,1
rworldmap,gridCountriesNumeric,A gloabl half degree grid specifying the country at each cell,259200,1
rworldmap,countrySynonyms,Synonyms of country names for each ISO 3 letter country code to enable conversion.,282,10
rworldmap,countryRegions,Regional Classification Table,253,17
rworldmap,countryExData,Example dataset for country level data (2008 Environmental Performance Index),149,80
rworldmap,countriesLow,"a low resolution world map, a vector map of 244 country boundaries, suitable for zooming in on regions or large global maps",243,49
rworldmap,countriesCoarseLessIslands,"a coarse resolution world map, a vector map of 177 country boundaries, suitable for global maps",177,49
rworldmap,countriesCoarse,"a coarse resolution world map, a vector map of 244 country boundaries,suitable for global maps",243,49
rworldmap,coastsCoarse,A map of world coasts at coarse resolution.,134,2
sabreR,tu,Binary Response Model,1633,11
sabreR,schiz,Ordered Response Model,1603,8
sabreR,growth,Continuos Response Growth Model,153,8
sabreR,drvisits,Count Response Model,2227,10
samplingVarEst,oaxaca,Municipalities of the state of Oaxaca in Mexico,570,41
sandwich,PublicSchools,US Expenditures for Public Schools,51,2
sas7bdat,sas7bdat.sources,Internet SAS Database Resources,263,16
sdef,Liver.Muscle,Diabetes susceptibility in liver and skeletal muscle of mice.,2912,2
sdef,Example3Lists,Molecular Differences between Mammalian Sexes.,6477,3
seacarb,seacarb_test_P300,Test data file (at P=300) to test the use of the carb function,20,8
seacarb,seacarb_test_P0,Test data file (at P=0) to test the use of the carb function,20,8
seacarb,alkalinity,Example data file for function at,29,8
seacarb,Pcoeffs,Coefficients used for pressure-correcting the equilibrium constants,14,7
secr,trapXY (secrdemo),SECR Models Fitted to Demonstration Data,100,3
secr,stoatCH (stoatDNA),Stoat DNA Data,20,7
secr,signalCH (ovensong),Ovenbird Acoustic Dataset,76,1
secr,possumremovalarea (possum),Brushtail Possum Trapping Dataset,116,2
secr,possummask (possum),Brushtail Possum Trapping Dataset,5120,2
secr,possumarea (possum),Brushtail Possum Trapping Dataset,152,2
secr,possumCH (possum),Brushtail Possum Trapping Dataset,112,5
secr,housemouse,House mouse live trapping data,173,10
secr,hornedlizardCH (hornedlizard),Flat-tailed Horned Lizard Dataset,68,14
secr,deermouse.WSG (deermouse),Deermouse Live-trapping Datasets,51,6
secr,deermouse.ESG (deermouse),Deermouse Live-trapping Datasets,38,6
secr,captdata (secrdemo),SECR Models Fitted to Demonstration Data,76,5
secr,captXY (secrdemo),SECR Models Fitted to Demonstration Data,235,5
secr,LStraps (skink),Skink Pitfall Data,462,2
sem,Bollen,Bollen's Data on Industrialization and Political Democracy,75,11
sem,CNES,Variables from the 1997 Canadian National Election Study,1529,4
sem,Klein,Klein's Data on the U. S. Economy,22,10
sem,Kmenta,Partly Artificial Data on the U. S. Economy,20,5
sem,Tests,Six Mental Tests,32,6
SemiPar,ustemp,U.S. temperature data,56,4
SemiPar,trade.union,Trade union data,534,11
SemiPar,term.structure,Term structure data,117,2
SemiPar,sitka,Sitka spruce data,1027,5
SemiPar,scallop,Scallop abundance data,148,3
SemiPar,sausage,Sausage data,54,3
SemiPar,salinity,Salinity data,28,4
SemiPar,retire.plan,Retirement plan data,92,10
SemiPar,ragweed,Ragweed data,335,6
SemiPar,pig.weights,Pig weight data,432,3
SemiPar,onions,Onions data,84,3
SemiPar,monitor.mercury,Mercury biomonintoring data,22,3
SemiPar,milan.mort,Milan mortality data,3652,9
SemiPar,lidar,LIDAR data,221,2
SemiPar,janka,Janka hardness data,36,2
SemiPar,fuel.frame,Automobile data from consumer reports,60,6
SemiPar,fossil,Fossil data,106,2
SemiPar,ethanol,Ethanol data,88,3
SemiPar,elec.temp,Electricity usage and temperature data,55,2
SemiPar,copper,Copper data,442,8
SemiPar,calif.air.poll,California air polution data,345,4
SemiPar,bpd,Bronchopulmonary dysplasia data,223,2
SemiPar,age.income,Age/income data,205,2
semPLS,mobi,Measurement Instrument for the Mobile Phone Industry,250,24
semPLS,mobi (ECSImobi),Measurement Instrument for the Mobile Phone Industry,250,24
semPLS,hanafi2007,Hanafi (2007): Example Data,10,11
semPLS,ECSIsm,Measurement Instrument for the Mobile Phone Industry,12,2
semPLS,ECSIsm (ECSImobi),Measurement Instrument for the Mobile Phone Industry,12,2
semPLS,ECSImm (ECSImobi),Measurement Instrument for the Mobile Phone Industry,24,2
semPLS,ECSImm,Measurement Instrument for the Mobile Phone Industry,24,2
semTools,simParcel,Simulated Data set to Demonstrate Random Allocations of Parcels,800,18
semTools,exLong,Simulated Data set to Demonstrate Longitudinal Measurement Invariance,200,10
semTools,dat3way,Simulated Dataset to Demonstrate Three-way Latent Interaction,1000,12
semTools,dat2way,Simulated Dataset to Demonstrate Two-way Latent Interaction,10000,9
seqCBS,JSSim_TumorSim2,Simulated Tumor sample dataset 2,16225,3
seqCBS,JSSim_TumorSim1,Simulated Tumor sample dataset 1,16452,3
seqCBS,JSSim_SpikeMat,True Signal Spike for the Simulated Dataset,5,5
seqCBS,JSSim_NormalSim2,Simulated normal sample dataset 2,15206,3
seqCBS,JSSim_NormalSim1,Simulated normal sample dataset 1,15193,3
seqCBS,JSSim_Meta,Meta File for Simulated Datasets,4,3
seqRFLP,enzdata,The restriction enzyme datasets.,777,2
seriation,Zoo,Zoo database,101,17
seriation,Townships,Bertin's Characteristics and Townships Data Set,16,9
seriation,Psych24,Psych24 - 24 psychological tests,24,24
seriation,Munsingen,Hodson's Munsingen Data Set,59,70
seriation,Irish,Irish data,41,9
sfsmisc,potatoes,Fisher's Potato Crop Data,64,5
sifds,kpix.outcome (sifds),Swedish KPIX inflation 1999:M05-2007:M07,99,1
sifds,cpi.outcome (sifds),Swedish CPI inflation 1999:M05-2007:M07,99,1
SightabilityModel,sampinfo.m,Data set containing sampling information for observation survey of moose in MN,12,4
SightabilityModel,obs.m,MN moose survey data,805,10
SightabilityModel,gdat,Mountain Goat Survey Data from Olympic National park,77,6
SightabilityModel,exp.m,Experimental (test trials) data set used to estimate detection probabilities for moose in MN,124,4
SimComp,coagulation,Data from a clinical study of three sets of extracorporeal circulation in heart-lung machines,35,5
SimultAnR,traffic,Traffic dataset,11,18
SimultAnR,shoplifting,Shoplifting dataset,13,18
SiZer,Arkansas,Time Series of Macroinvertabrates Abundance in the Arkansas River.,90,2
SMIR,woolson,Woolson and Clarke's Obesity Study,48,4
SMIR,vietnam,University of North Carolina Vietnam War Student Survey,40,4
SMIR,vaso,Gilliatt's vaso-constriction data,39,4
SMIR,trypanos,The trypanosome data,8,3
SMIR,trees,The Minitab cherry tree data,31,3
SMIR,toxoplas,Toxoplasmosis in El Salvador,34,3
SMIR,toxaemia,Bradford toxaemia data,60,4
SMIR,statlab,STATLAB census data,1296,34
SMIR,stan,Stanford Heart Transplantation Programme,65,12
SMIR,stackloss,The Brownlee stackloss data,21,4
SMIR,solv,Children's block design test,24,4
SMIR,prentice,Veteran's Administration Lung Cancer Trial,137,8
SMIR,poison,Box Cox Poison Dataset,48,3
SMIR,miners,Pneumoconiosis in coal miners,8,4
SMIR,lsat,LSAT,32,7
SMIR,insult,Effects of unprovoked verbal attack,19,8
SMIR,hostility,Bennett's hostility data,67,10
SMIR,ghq,Psychiatric diagnosis based on GHQ,22,4
SMIR,gehan,Remission times of acute leukemia patients - Gehan et al,42,4
SMIR,feigl,Leukaemia survival times - Feigl & Zelen,33,3
SMIR,faults,Faults in rolls of material,32,2
SMIR,claims,Insurance claims data,64,5
SMIR,chd,Coronary heart disease,16,4
SMIR,cars,Performance data for cars from Motor Trend magazine,32,12
SMIR,byssinosis,Byssinosis in the cotton industry,72,7
SMIR,bronchit,Chronic bronchitis in a sample of mean in Cardiff,212,3
SMIR,betablok,Beta-blockers for myocardial infarction,44,4
sna,coleman,Coleman's High School Friendship Data,2,73
sp,meuse.riv,River Meuse outline,176,2
sp,meuse.grid_ll,"Prediction Grid for Meuse Data Set, geographical coordinates",3103,5
sp,meuse.grid,Prediction Grid for Meuse Data Set,3103,7
sp,meuse,Meuse river data set,155,14
sp,Rlogo,Rlogo jpeg image,101,77
spaa,testdata,Data used in example,11,3
spaa,splist,species list used in function add.col(),9,3
spaa,datasample,community matrix example,8,14
spacetime,rural (air),"Air quality data, rural background PM10 in Germany, daily averages 1998-2009",70,4383
spacetime,fires,Northern Los Angeles County Fires,313,3
spacetime,DE_NUTS1 (air),"Air quality data, rural background PM10 in Germany, daily averages 1998-2009",16,16
spartan,OAT_Sampling_maxVCAMeffectProbabilityCutoff_Values,Utility: Sample Data,19,1
spartan,OAT_Sampling_chemoThreshold_Values,Utility: Sample Data,9,1
spartan,OAT_Example_ATests_chemoLowerLinearAdjust,Utility: Sample Data,14,1
spartan,LHC_Parameters_for_Runs,Utility: Sample Data,65,1
spartan,EgSet_eFAST_Analysis,Utility: Sample Data,7,1
spartan,EgSet_eFAST_AllResults,Utility: Sample Data,65,1
spartan,EgSet_LHC_corCoeffs,Utility: Sample Data,6,1
spartan,EgSet_LHC_Summary,Utility: Sample Data,495,1
spartan,Curve1_vcamSlope,Utility: Sample Data,65,1
spartan,Curve1_thresholdBindProbability,Utility: Sample Data,65,1
spartan,Curve1_maxVCAMeffectProbabilityCutoff,Utility: Sample Data,65,1
spartan,Curve1_chemoUpperLinearAdjust,Utility: Sample Data,65,1
spartan,Curve1_chemoThreshold,Utility: Sample Data,65,1
spartan,Curve1_chemoLowerLinearAdjust,Utility: Sample Data,65,1
spartan,Curve1_Dummy,Utility: Sample Data,65,1
spartan,AA_Example_ATestMaxAndMedians,Utility: Sample Data,5,1
SpatialExtremes,rain (rainfall),Summer annual maxima precipitation in Switzerland,47,79
SpatialExtremes,coord (rainfall),Summer annual maxima precipitation in Switzerland,79,3
SpatialExtremes,alt.mat (swissalt),Elevation in Switzerland,192,115
spatstat,osteo,Osteocyte Lacunae Data: Replicated Three-Dimensional Point Patterns,40,5
spatstat,flu,Influenza Virus Proteins,41,4
speff2trial,ACTG175,AIDS Clinical Trials Group Study 175,2139,27
spgwr,gSRDF (georgia),Georgia census data set (SpatialDataFramePolygons),159,14
spgwr,columbus,"Columbus, OH crime data",49,5
spi,spi_data,SPI of the rainy season in the Rio Grande do Norte,7,49
sporm,RadarTube,Radar Tube Life data,44,2
Stat2Data,Alfalfa,Alfalfa,15,3
Stat2Data,ArcheryData,ArcheryData,18,7
Stat2Data,AutoPollution,AutoPollution,36,4
Stat2Data,Backpack,Backpack,100,9
Stat2Data,BaseballTimes,BaseballTimes,15,7
Stat2Data,BeeStings,BeeStings,18,3
Stat2Data,BirdNest,BirdNest,84,12
Stat2Data,Blood1,Blood1,500,3
Stat2Data,BlueJays,Blue Jays,123,9
Stat2Data,BritishUnions,BritishUnions,17,7
Stat2Data,CAFE,CAFE,100,7
Stat2Data,CO2,CO2,237,2
Stat2Data,CalciumBP,CalciumBP,21,2
Stat2Data,CancerSurvival,CancerSurvival,64,2
Stat2Data,Caterpillars,Caterpillars,267,18
Stat2Data,Cereal,Cereal,36,4
Stat2Data,ChemoTHC,ChemoTHC,2,4
Stat2Data,ChildSpeaks,ChildSpeaks,21,3
Stat2Data,Clothing,Clothing,60,8
Stat2Data,CloudSeeding,Cloud Seeding,28,7
Stat2Data,CloudSeeding2,Cloud Seeding 2,108,8
Stat2Data,CrackerFiber,Cracker Fiber in Diets,48,3
Stat2Data,Cuckoo,Cuckoo,120,2
Stat2Data,Day1Survey,Day1Survey,43,13
Stat2Data,Diamonds,Diamonds,351,6
Stat2Data,Diamonds2,Diamonds2,307,6
Stat2Data,Election08,Election08,51,7
Stat2Data,Ethanol,Ethanol,16,3
Stat2Data,FGByDistance,FGByDistance,51,7
Stat2Data,FantasyBaseball,FantasyBaseball,24,9
Stat2Data,Fertility,Fertility,333,10
Stat2Data,Film,Film,100,9
Stat2Data,FinalFourIzzo,FinalFourIzzo,1664,4
Stat2Data,FinalFourLong,FinalFourLong,2048,3
Stat2Data,FinalFourShort,FinalFourShort,512,4
Stat2Data,Fingers,Fingers,12,3
Stat2Data,FirstYearGPA,FirstYearGPA,219,10
Stat2Data,FishEggs,FishEggs,35,4
Stat2Data,FlightResponse,FlightResponse,464,7
Stat2Data,Fluorescence,Fluorescence,51,2
Stat2Data,FruitFlies,FruitFlies,125,7
Stat2Data,Goldenrod,Goldenrod Galls,1055,9
Stat2Data,Grocery,Grocery,36,5
Stat2Data,Gunnels,Gunnels,1592,10
Stat2Data,HawkTail,HawkTail,838,2
Stat2Data,HawkTail2,HawkTail2,577,3
Stat2Data,Hawks,Hawks,908,19
Stat2Data,HearingTest,HearingTest,96,3
Stat2Data,HighPeaks,HighPeaks,46,6
Stat2Data,Hoops,Hoops,147,22
Stat2Data,HorsePrices,HorsePrices,50,5
Stat2Data,Houses,Houses,20,3
Stat2Data,ICU,ICU,200,9
Stat2Data,InfantMortality,InfantMortality,9,2
Stat2Data,InsuranceVote,InsuranceVote,435,9
Stat2Data,Jurors,Jurors,52,4
Stat2Data,Kids198,Kids198,198,5
Stat2Data,LeafHoppers,LeafHoppers,8,2
Stat2Data,Leukemia,Leukemia,51,9
Stat2Data,LongJumpOlympics,LongJumpOlympics,26,2
Stat2Data,LostLetter,LostLetter,140,8
Stat2Data,MLB2007Standings,MLB2007Standings,30,21
Stat2Data,Marathon,Marathon,1127,9
Stat2Data,Markets,Markets,56,5
Stat2Data,MathEnrollment,Math Enrollments,11,3
Stat2Data,MathPlacement,Math Placement,2696,16
Stat2Data,MedGPA,MedGPA,55,11
Stat2Data,MentalHealth,Mental Health Admissions,36,3
Stat2Data,MetabolicRate,Metabolic Rate of Caterpillars,305,7
Stat2Data,MetroHealth83,MetroHealth83,83,16
Stat2Data,Milgram,Milgram,37,2
Stat2Data,MothEggs,Moth Eggs,39,2
Stat2Data,NCbirths,NCbirths,1450,15
Stat2Data,NFL2007Standings,NFL2007Standings,32,10
Stat2Data,Nursing,Nursing,52,7
Stat2Data,Olives,Olives,18,7
Stat2Data,Orings,Orings,24,2
Stat2Data,Overdrawn,Overdrawn,450,4
Stat2Data,PalmBeach,PalmBeach,67,3
Stat2Data,Pedometer,Pedometer,68,8
Stat2Data,Perch,Perch,56,4
Stat2Data,PigFeed,PigFeed,12,3
Stat2Data,Pines,Pines,1000,15
Stat2Data,Political,Political,59,9
Stat2Data,Pollster08,Pollster08,102,11
Stat2Data,Popcorn,Popcorn,12,3
Stat2Data,PorscheJaguar,PorscheJaguar,60,5
Stat2Data,PorschePrice,PorschePrice,30,3
Stat2Data,Pulse,Pulse,232,7
Stat2Data,Putts1,Putts1,587,2
Stat2Data,Putts2,Putts2,5,4
Stat2Data,ReligionGDP,ReligionGDP,44,9
Stat2Data,Retirement,Retirement,16,2
Stat2Data,RiverElements,RiverElements,12,27
Stat2Data,RiverIron,River Iron,12,4
Stat2Data,SATGPA,SAT scores and GPA,24,3
Stat2Data,SampleFG,SampleFG,30,13
Stat2Data,SandwichAnts,Sandwich Ants,48,5
Stat2Data,SeaSlugs,Sea Slugs,36,2
Stat2Data,Sparrows,Sparrows,116,3
Stat2Data,SpeciesArea,Species Area,14,5
Stat2Data,Speed,Speed,21,3
Stat2Data,Swahili,Swahili,480,4
Stat2Data,TMS,TMS,2,4
Stat2Data,TextPrices,Text Prices,30,2
Stat2Data,ThreeCars,Three Cars,90,8
Stat2Data,TipJoke,Tip Joke,211,5
Stat2Data,Titanic,Titanic,1313,6
Stat2Data,TomlinsonRush,LaDainian Tomlinson Rushing Yards,16,4
Stat2Data,TwinsLungs,TwinsLungs,14,3
Stat2Data,USstamps,USstamps,25,2
Stat2Data,Volts,Volts,50,2
Stat2Data,WalkingBabies,WalkingBabies,24,2
Stat2Data,WeightLossIncentive,WeightLossIncentive,38,3
Stat2Data,WeightLossIncentive4,WeightLossIncentive4,36,2
Stat2Data,WeightLossIncentive7,WeightLossIncentive7,33,2
Stat2Data,WordMemory,WordMemory,40,4
Stat2Data,YouthRisk2007,YouthRisk2007,13387,6
Stat2Data,YouthRisk2009,YouthRisk2009,500,6
stepwise,stepwise (stepwise.seqs),Simulated sequence alignment from the stepwise package,30,1000
stpp,northcumbria,Polygon boundary of north Cumbria,71,2
stpp,fmd,"2001 food-and-mouth epidemic, north Cumbria (UK)",648,3
stratification,Sweden,The MU284 Population of Sweden Municipalities from Sarndal et al. (1992),284,11
stratification,SHS,"Data from the 2001 Survey of Household Spending (SHS), Statistics Canada",16057,7
stratigraph,striped,'plain' example section,11,4
stratigraph,stippled,'plain' example section,8,4
stratigraph,sVI,Section I,21,17
stratigraph,sV,Section I,11,17
stratigraph,sIV,Section I,19,17
stratigraph,sIII,Section I,7,17
stratigraph,sII,Section I,3,17
stratigraph,sI,Section I,11,17
stratigraph,plain,'plain' example section,13,4
stratigraph,corneta,Corneta Outcrop,13,169
stratigraph,cerrejon,Cerrejon Core,189,113
StreamMetabolism,DOTemp,Rhode River Street Pier-Maryland data set,96,2
surv2sample,hepatitis,Chronic Active Hepatitis Data,44,3
surv2sample,gastric,Gastric Cancer Data,90,3
surv2sample,bmt1,Bone Marrow Transplant Data,1607,3
survBayes,AA.data,Shrinkage of aneurisms,149,6
survival,bladder,Bladder Cancer Recurrences,340,7
survival,cancer,NCCTG Lung Cancer Data,228,10
survival,cgd,Chronic Granulotomous Disease data,203,16
survival,colon,Chemotherapy for Stage B/C colon cancer,1858,16
survival,flchain,Assay of serum free light chain for 7874 subjects.,7874,11
survival,genfan,Generator fans,70,2
survival,heart,Stanford Heart Transplant data,172,8
survival,kidney,Kidney catheter data,76,7
survival,leukemia,Acute Myelogenous Leukemia survival data,23,3
survival,logan,Data from the 1972-78 GSS data used by Logan,838,4
survival,lung,NCCTG Lung Cancer Data,228,10
survival,mgus,Monoclonal gammapothy data,241,12
survival,mgus2,Monoclonal gammapothy data,1384,10
survival,myeloid,Acute myeloid leukemia,646,7
survival,nwtco,Data from the National Wilm's Tumor Study,4028,9
survival,ovarian,Ovarian Cancer Survival Data,26,6
survival,pbc,Mayo Clinic Primary Biliary Cirrhosis Data,418,20
survival,rats,Rat treatment data from Mantel et al,300,5
survival,retinopathy,Diabetic Retinopathy,394,9
survival,rhDNase,rhDNASE data set,767,8
survival,stanford2,More Stanford Heart Transplant data,184,5
survival,tobin,Tobin's Tobit data,20,3
survival,transplant,Liver transplant waiting list,815,6
survival,veteran,Veterans' Administration Lung Cancer study,137,8
survivalROC,mayo,Mayo Marker data,312,4
survJamda.data,gse4335pheno,Phenotype data of GSE4335.,115,17
survJamda.data,gse4335,GSE4335,115,12793
survJamda.data,gse3143pheno,Phenotype data of GSE3143,158,4
survJamda.data,gse3143,GSE3143,158,8659
survJamda.data,gse1992pheno,Phenotype data of GSE1992,124,24
survJamda.data,gse1992,GSE1992,124,15528
survPresmooth,pscheck,Example Dataset,100,2
SwissAir,AirQual,Air Quality Data of Switzerland,17568,22
sybil,Ec_core,Escherichia coli Core Metabolic Model,72,95
Synth,synth.data,Panel Data to demonstrate the use of the Synthetic Control Method,168,7
Synth,basque,Panel Data from Spanish Regions to demonstrate the use of the Synthetic Control Method,774,17
tableplot,NEO.s,Factor solutions for the NEO PI-R,30,5
tableplot,NEO.n,Factor solutions for the NEO PI-R,30,5
tableplot,NEO,Factor solutions for the NEO PI-R,30,5
tableplot,Linehan,Factor patterns for two samples from Linehan et al. (2006),13,4
TeachingSampling,Marco,Sampling frame if the Lucy population,2396,4
TeachingSampling,Lucy,Some Business Population Database,2396,8
texmex,liver,Liver related laboratory data,606,9
texmex,nidd,"Rain, wavesurge, portpirie and nidd datasets.",154,1
texmex,portpirie,"Rain, wavesurge, portpirie and nidd datasets.",65,2
texmex,rain,"Rain, wavesurge, portpirie and nidd datasets.",17531,1
texmex,summer,"Air pollution data, separately for summer and winter months",578,5
texmex,wavesurge,"Rain, wavesurge, portpirie and nidd datasets.",2894,2
texmex,winter,"Air pollution data, separately for summer and winter months",532,5
tgp,exp2d,2-d Exponential Data,441,4
ThreeWay,meaudret,Meaudret data,6,10
ThreeWay,Bus,Bus data,7,185
timeROC,Paquid,Paquid cohort data,2561,4
timeROC,Melano,Malignant melanoma data,205,4
titan,hypoxia,Gene Expression Under Hypoxia/Normoxia,1009,5
topicmodels,AssociatedPress,Associated Press data,2246,10473
TraMineR,mvad,Example data set: Transition from school to work,712,86
TraMineR,famform,Example data set: sequences of family formation,5,1
TraMineR,ex2.weighted (ex2),Example data sets with weighted and unweighted sequence data,6,2
TraMineR,ex2.unweighted (ex2),Example data sets with weighted and unweighted sequence data,100,1
TraMineR,ex1,Example data set with missing values and weights,7,14
TraMineR,biofam,Example data set: Family life states from the Swiss Household Panel biographical survey,2000,27
TraMineR,actcal.tse,Example data set: Activity calendar from the Swiss Household Panel (time stamped event format),2954,3
TraMineR,actcal,Example data set: Activity calendar from the Swiss Household Panel,2000,24
TSA,wages,Average hourly wages in the apparel industry / time series,72,1
TSA,veilleux,An experimental prey-predator time series,71,2
TSA,usd.hkd,Daily US Dollar to Hong Kong Dollar Exchange Rates,431,6
TSA,units,Annual sales of certain large equipment,24,1
TSA,star,Star Brightness,600,1
TSA,spots1,Annual international sunspot numbers,306,1
TSA,rwalk,A simulated random walk / Time series,60,1
TSA,retail,U.K. retail sales / time series,255,1
TSA,milk,Monthly Milk Production,144,1
TSA,electricity,Monthly US electricity production / time series,396,1
TSA,eeg,EEG Data,13000,1
TSA,cref.bond,Daily CREF Bond Values,501,1
TSA,boardings,Monthly public transit boardings and gasoline price in Denver,68,2
TSA,bluebirdlite,Bluebird Lite potato chip data,104,2
TSA,bluebird,Blue Bird Potato Chip Data,104,2
TSA,airmiles,Monthly Airline Passenger-Miles in the US,113,1
tsDyn,zeroyld,zeroyld time series,482,2
tsDyn,barry,Time series of PPI used as example in Bierens and Martins (2010),324,3
twang,raceprofiling,Traffic stop data,5000,10
twang,lindner,Lindner Center data on 996 PCI patients analyzed by Kereiakes et al. (2000),996,11
twang,lalonde,Lalonde's National Supported Work Demonstration data,614,10
twang,egsingle,US Sustaining Effects study,7230,12
unmarked,woodthrush.bin (birds),BBS Point Count and Occurrence Data from 2 Bird Species,50,11
unmarked,woodthrush (birds),BBS Point Count and Occurrence Data from 2 Bird Species,50,11
unmarked,pointtran,Simulated point-transect data,30,7
unmarked,pfer.y (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,pfer.data (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,pfer.bin (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,pcru.y (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,pcru.data (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,pcru.bin (frogs),2001 Delaware North American Amphibian Monitoring Program Data,130,3
unmarked,masspcru,Massachusetts North American Amphibian Monitoring Program Data,3216,6
unmarked,mallard.y (mallard),Mallard count data,239,3
unmarked,mallard.site (mallard),Mallard count data,239,3
unmarked,linetran,Simulated line transect data,12,7
unmarked,issj,Distance-sampling data for the Island Scrub Jay (_Aphelocoma insularis_),307,8
unmarked,gf.data (gf),Green frog count index data,220,3
